n_iteracion,fScore,precision,recall,k_neighbors,valorD,w
0,0.7355371900826446,0.7355371900826446,0.7355371900826446,1,1,uniform
1,0.7642276422764228,0.752,0.7768595041322314,3,1,uniform
2,0.7912524850894632,0.7624521072796935,0.8223140495867769,5,1,uniform
3,0.7242105263157894,0.7381974248927039,0.7107438016528925,1,2,uniform
4,0.7530364372469636,0.7380952380952381,0.768595041322314,3,2,uniform
5,0.7913385826771654,0.7556390977443609,0.8305785123966942,5,2,uniform
6,0.7355371900826446,0.7355371900826446,0.7355371900826446,1,1,distance
7,0.766734279918864,0.7529880478087649,0.78099173553719,3,1,distance
8,0.7904191616766468,0.7644787644787645,0.8181818181818182,5,1,distance
9,0.7242105263157894,0.7381974248927039,0.7107438016528925,1,2,distance
10,0.7576374745417516,0.7469879518072289,0.768595041322314,3,2,distance
11,0.783300198807157,0.7547892720306514,0.8140495867768595,5,2,distance
